TAKE;;BUY;;DO;
adapter zasuvka;;bus food;;obočí;
ntb;;protein bar;;boarding pass;
kabely;;;;nehty;
myš;;;;dollary/eura;
manikura;;;;pdf guide;
powerbanka;;;;oholit;
krémy;;;;obal na mob;
leky, antibio, vitaminy;;;;rousky do letadla;
sim špendlík;;;;sim cz;
brýle sun;;;;foto NOVÉHO PASU!;
plavky;;;;ostrihat;
kraťasy;;;;Napsat Keigo Wahei Shogo Takashi typek z Vietnamu iTalki lady, Minami, Minoru, Zdenka;
řidičák (oba);;;;;
2xtelefon;;;;;
holení;;;;;
kartáček;;;;;
kalhoty letadlo;;;;;
deštník;;;;;
pas NOVÝ!;;;;;
sluchátka 2x;;;;;
batohová pláštěnka;;;;;
polštář;;;;;
roušky;;;;;
stativy;;;;;
špunty do uší;;;;;
dioptricke bryle 2x!;;;;;
wet tissue;;;;;
nabijecka mobil;;;;;
nabijecka comp;;;;;
boty 2x;;;;;
eye cover;;;;;
iPhone kabely;;;;;
220 velký adapter;;;;;
zamek;;;;;
Čepici zimni;;;;;
ID Bahenhoffer;;;;;
jeans;;;;;
pásek;;;;;
boty turistické;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
